wave_id,task_id,system,score
20260902T230727Z-P15-C-PO-ADDENDUM-001-codex,P15-C-PO-ADDENDUM-001,Codex GPT-5.6 Sol,0.866667
20260903T015746Z-P15-C-PO-ADDENDUM-001-codex,P15-C-PO-ADDENDUM-001,Codex GPT-5.6 Sol,1.000000
20260903T044841Z-P15-C-PO-ADDENDUM-001-codex,P15-C-PO-ADDENDUM-001,Codex GPT-5.6 Sol,1.000000
20260903T130639Z-P15-C-PO-ADDENDUM-001-codex,P15-C-PO-ADDENDUM-001,Codex GPT-5.6 Sol,1.000000
20260901T113709Z-P15-C-PO-ADDENDUM-001-qwen-coder,P15-C-PO-ADDENDUM-001,Qwen3.8-max,0.633333
20260901T152010Z-P15-C-PO-ADDENDUM-001-qwen-coder,P15-C-PO-ADDENDUM-001,Qwen3.8-max,0.633333
20260902T214951Z-P15-C-PO-ADDENDUM-001-qwen-coder,P15-C-PO-ADDENDUM-001,Qwen3.8-max,0.633333
20260903T000633Z-P15-C-PO-ADDENDUM-001-qwen-coder,P15-C-PO-ADDENDUM-001,Qwen3.8-max,0.500000
20260903T024711Z-P15-C-PO-ADDENDUM-001-qwen-coder,P15-C-PO-ADDENDUM-001,Qwen3.8-max,1.000000
20260904T004833Z-P15-C-PO-ADDENDUM-001-qwen-coder,P15-C-PO-ADDENDUM-001,Qwen3.8-max,0.500000
20260902T165132Z-P15-C-QUOTE-001-claude-code,P15-C-QUOTE-001,Claude Opus 5,0.758621
20260902T180457Z-P15-C-QUOTE-001-claude-code,P15-C-QUOTE-001,Claude Opus 5,0.172414
20260902T200942Z-P15-C-QUOTE-001-claude-code,P15-C-QUOTE-001,Claude Opus 5,0.068966
20260903T121921Z-P15-C-QUOTE-001-claude-code,P15-C-QUOTE-001,Claude Opus 5,0.172414
20260903T143629Z-P15-C-QUOTE-001-claude-code,P15-C-QUOTE-001,Claude Opus 5,0.655172
20260903T200846Z-P15-C-QUOTE-001-claude-code,P15-C-QUOTE-001,Claude Opus 5,0.068966
20260901T144640Z-P15-C-QUOTE-001-codex,P15-C-QUOTE-001,Codex GPT-5.6 Sol,1.000000
20260902T152747Z-P15-C-QUOTE-001-codex,P15-C-QUOTE-001,Codex GPT-5.6 Sol,1.000000
20260902T212515Z-P15-C-QUOTE-001-codex,P15-C-QUOTE-001,Codex GPT-5.6 Sol,1.000000
20260903T000545Z-P15-C-QUOTE-001-codex,P15-C-QUOTE-001,Codex GPT-5.6 Sol,1.000000
20260903T024707Z-P15-C-QUOTE-001-codex,P15-C-QUOTE-001,Codex GPT-5.6 Sol,1.000000
20260903T054357Z-P15-C-QUOTE-001-codex,P15-C-QUOTE-001,Codex GPT-5.6 Sol,1.000000
20260903T205115Z-P15-C-QUOTE-001-codex,P15-C-QUOTE-001,Codex GPT-5.6 Sol,1.000000
20260904T011830Z-P15-C-QUOTE-001-codex,P15-C-QUOTE-001,Codex GPT-5.6 Sol,1.000000
20260901T143237Z-P15-C-QUOTE-001-qwen-coder,P15-C-QUOTE-001,Qwen3.8-max,1.000000
20260901T145450Z-P15-C-QUOTE-001-qwen-coder,P15-C-QUOTE-001,Qwen3.8-max,1.000000
20260901T151602Z-P15-C-QUOTE-001-qwen-coder,P15-C-QUOTE-001,Qwen3.8-max,1.000000
20260901T154702Z-P15-C-QUOTE-001-qwen-coder,P15-C-QUOTE-001,Qwen3.8-max,1.000000
20260903T002237Z-P15-C-QUOTE-001-qwen-coder,P15-C-QUOTE-001,Qwen3.8-max,1.000000
20260903T025714Z-P15-C-QUOTE-001-qwen-coder,P15-C-QUOTE-001,Qwen3.8-max,1.000000
20260903T234549Z-P15-C-QUOTE-001-qwen-coder,P15-C-QUOTE-001,Qwen3.8-max,0.655172
20260901T144126Z-P15-C-RECEIPTS-001-claude-code,P15-C-RECEIPTS-001,Claude Opus 5,1.000000
20260901T150538Z-P15-C-RECEIPTS-001-claude-code,P15-C-RECEIPTS-001,Claude Opus 5,1.000000
20260902T171339Z-P15-C-RECEIPTS-001-claude-code,P15-C-RECEIPTS-001,Claude Opus 5,1.000000
20260902T184911Z-P15-C-RECEIPTS-001-claude-code,P15-C-RECEIPTS-001,Claude Opus 5,0.066667
20260903T011436Z-P15-C-RECEIPTS-001-claude-code,P15-C-RECEIPTS-001,Claude Opus 5,0.066667
20260903T154930Z-P15-C-RECEIPTS-001-claude-code,P15-C-RECEIPTS-001,Claude Opus 5,0.166667
20260903T201749Z-P15-C-RECEIPTS-001-claude-code,P15-C-RECEIPTS-001,Claude Opus 5,0.066667
20260901T145610Z-P15-C-RECEIPTS-001-codex,P15-C-RECEIPTS-001,Codex GPT-5.6 Sol,1.000000
20260902T135338Z-P15-C-RECEIPTS-001-codex,P15-C-RECEIPTS-001,Codex GPT-5.6 Sol,1.000000
20260902T174145Z-P15-C-RECEIPTS-001-codex,P15-C-RECEIPTS-001,Codex GPT-5.6 Sol,1.000000
20260902T222108Z-P15-C-RECEIPTS-001-codex,P15-C-RECEIPTS-001,Codex GPT-5.6 Sol,1.000000
20260903T005828Z-P15-C-RECEIPTS-001-codex,P15-C-RECEIPTS-001,Codex GPT-5.6 Sol,1.000000
20260903T032719Z-P15-C-RECEIPTS-001-codex,P15-C-RECEIPTS-001,Codex GPT-5.6 Sol,1.000000
20260903T062910Z-P15-C-RECEIPTS-001-codex,P15-C-RECEIPTS-001,Codex GPT-5.6 Sol,1.000000
20260901T143401Z-P15-C-RECEIPTS-001-qwen-coder,P15-C-RECEIPTS-001,Qwen3.8-max,1.000000
20260901T145048Z-P15-C-RECEIPTS-001-qwen-coder,P15-C-RECEIPTS-001,Qwen3.8-max,1.000000
20260901T151533Z-P15-C-RECEIPTS-001-qwen-coder,P15-C-RECEIPTS-001,Qwen3.8-max,1.000000
20260901T154658Z-P15-C-RECEIPTS-001-qwen-coder,P15-C-RECEIPTS-001,Qwen3.8-max,1.000000
20260902T235730Z-P15-C-RECEIPTS-001-qwen-coder,P15-C-RECEIPTS-001,Qwen3.8-max,1.000000
20260903T023708Z-P15-C-RECEIPTS-001-qwen-coder,P15-C-RECEIPTS-001,Qwen3.8-max,1.000000
20260901T142923Z-P15-C-STATEMENT-001-claude-code,P15-C-STATEMENT-001,Claude Opus 5,1.000000
20260901T145604Z-P15-C-STATEMENT-001-claude-code,P15-C-STATEMENT-001,Claude Opus 5,0.166667
20260901T151254Z-P15-C-STATEMENT-001-claude-code,P15-C-STATEMENT-001,Claude Opus 5,0.766667
20260902T141639Z-P15-C-STATEMENT-001-claude-code,P15-C-STATEMENT-001,Claude Opus 5,1.000000
20260902T173746Z-P15-C-STATEMENT-001-claude-code,P15-C-STATEMENT-001,Claude Opus 5,0.066667
20260902T193528Z-P15-C-STATEMENT-001-claude-code,P15-C-STATEMENT-001,Claude Opus 5,0.766667
20260903T023706Z-P15-C-STATEMENT-001-claude-code,P15-C-STATEMENT-001,Claude Opus 5,1.000000
20260901T114449Z-P15-C-STATEMENT-001-codex,P15-C-STATEMENT-001,Codex GPT-5.6 Sol,1.000000
20260901T143452Z-P15-C-STATEMENT-001-codex,P15-C-STATEMENT-001,Codex GPT-5.6 Sol,1.000000
20260901T154551Z-P15-C-STATEMENT-001-codex,P15-C-STATEMENT-001,Codex GPT-5.6 Sol,0.900000
20260902T224920Z-P15-C-STATEMENT-001-codex,P15-C-STATEMENT-001,Codex GPT-5.6 Sol,0.900000
20260903T014642Z-P15-C-STATEMENT-001-codex,P15-C-STATEMENT-001,Codex GPT-5.6 Sol,1.000000
20260903T043938Z-P15-C-STATEMENT-001-codex,P15-C-STATEMENT-001,Codex GPT-5.6 Sol,1.000000
20260903T121918Z-P15-C-STATEMENT-001-codex,P15-C-STATEMENT-001,Codex GPT-5.6 Sol,1.000000
20260902T161904Z-P15-C-STATEMENT-001-qwen-coder,P15-C-STATEMENT-001,Qwen3.8-max,0.900000
20260902T181802Z-P15-C-STATEMENT-001-qwen-coder,P15-C-STATEMENT-001,Qwen3.8-max,1.000000
20260902T203703Z-P15-C-STATEMENT-001-qwen-coder,P15-C-STATEMENT-001,Qwen3.8-max,1.000000
20260902T231919Z-P15-C-STATEMENT-001-qwen-coder,P15-C-STATEMENT-001,Qwen3.8-max,0.900000
20260903T020754Z-P15-C-STATEMENT-001-qwen-coder,P15-C-STATEMENT-001,Qwen3.8-max,0.900000
20260903T052049Z-P15-C-STATEMENT-001-qwen-coder,P15-C-STATEMENT-001,Qwen3.8-max,1.000000
20260904T013954Z-P15-C-STATEMENT-001-qwen-coder,P15-C-STATEMENT-001,Qwen3.8-max,1.000000
